First Name,Password,E-mail,University,Module1,Module2,Module3,Module4,Module5,Module6,Role,Slogan,Total Marks,Company Name,at1,at2,at3,at4,at5,at6,atTotal
Auguste,w3471,afoat3w@netvibes.com,Université de Rouen - Haute Normandie,70,66,44,66,84,91,Teacher,e-enable turn-key paradigms,70.17,Grant Group,69,53,68,60,65,61,62.67
Franni,l7192,fcoppen3x@live.com,Moscow State University of Ecological Engineering,69,98,62,70,55,71,Accountant II,implement bricks-and-clicks vortals,70.83,"Schultz, Olson and Spinka",85,47,54,81,85,67,69.83
Tiffi,a9633$d!,tbony3y@geocities.jp,Sultan Azlan Shah Polytechnic ,100,74,65,44,51,72,Chemical Engineer,aggregate user-centric content,67.67,Hessel-Flatley,90,49,71,70,43,56,63.17
Wood,k5164Be,wspindler3z@archive.org,DEI Bachelor & Master Degrees,96,56,84,52,86,53,Associate Professor,harness leading-edge partnerships,71.17,Williamson Inc,50,70,90,76,49,53,64.67
Alvin,l7091AL5,astrelitz40@surveymonkey.com,London College of Science & Technology,73,59,90,70,44,53,Developer III,enhance cross-platform solutions,64.83,"Stiedemann, Stiedemann and Zulauf",100,43,94,44,44,47,62
Margarita,r3240l{,mbenois41@goo.gl,Wright State University,89,98,70,68,75,64,Account Coordinator,reintermediate magnetic experiences,77.33,Fahey-Abernathy,70,86,75,43,88,72,72.33
Sherye,q2891z,sburchess42@admin.ch,University of Crete,76,98,60,69,96,93,Information Systems Manager,utilize world-class web-readiness,82,"Bednar, Langosh and Connelly",69,84,56,90,95,86,80
Kate,"h8620""",kmorgan43@geocities.com,Al-Azhar University of Gaza,59,98,87,51,95,51,Quality Control Specialist,embrace user-centric functionalities,73.5,Hamill Inc,54,71,95,62,55,72,68.17
Jennilee,c90124!,jmoffet44@istockphoto.com,Athenaeum of Ohio,99,80,62,85,60,64,Graphic Designer,engineer magnetic supply-chains,75,Green LLC,62,46,44,63,90,44,58.17
Herrick,b0148{l,hmossdale45@scientificamerican.com,Universidad Católica de Santiago del Estero,47,81,58,66,90,56,Marketing Manager,e-enable magnetic e-markets,66.33,Durgan and Sons,91,41,98,67,68,88,75.5
Trudi,n6513,tmattaser46@slashdot.org,Vancouver Community College,77,98,52,67,95,84,Accountant III,leverage mission-critical users,78.83,Pollich LLC,57,78,99,76,85,92,81.17
Deane,j88684O,dpauletti47@hubpages.com,Tamagawa University,65,55,62,62,92,59,Software Engineer III,reinvent world-class models,65.83,"Emard, Sanford and Gerhold",78,62,62,71,54,83,68.33
Nevsa,u1963UAe,nrevington48@patch.com,University of Education,82,78,73,87,85,44,Associate Professor,evolve efficient systems,74.83,"Herzog, Beahan and Prohaska",76,67,53,96,57,47,66
Goraud,y3731R8,gpickworth49@bravesites.com,Northwestern University of the Philippines,50,76,92,64,42,59,Financial Advisor,deploy strategic portals,63.83,"Volkman, Thompson and McCullough",100,47,87,79,52,54,69.83
Goldi,g5626Q@u,ghowitt4a@bluehost.com,"Teachers College, Columbia University",54,42,87,80,65,85,Help Desk Operator,matrix end-to-end mindshare,68.83,Fadel-Koelpin,58,88,88,92,66,91,80.5
Ardyth,q6675,agreenshiels4b@behance.net,Massachusetts College of Liberal Arts,59,91,47,93,99,100,Health Coach II,generate viral infomediaries,81.5,Beatty-Hessel,100,69,66,85,80,98,83
Osmond,y4705,ocossins4c@exblog.jp,"New York Academy of Art, Graduate School of Figurative Art",41,50,61,70,86,40,Research Assistant I,optimize integrated architectures,58,Barton-Corkery,57,71,77,84,75,79,73.83
Dougie,d7278Y,divanikhin4d@nytimes.com,Silesian School of Economics and Languages,93,71,63,75,92,56,Software Engineer II,whiteboard clicks-and-mortar web-readiness,75,Kautzer-Denesik,44,57,75,98,74,68,69.33
Baron,n7088v,baffron4e@ebay.co.uk,Universidad de Valladolid,70,71,66,69,74,69,Help Desk Operator,strategize impactful deliverables,69.83,Reilly Group,50,75,80,75,57,70,67.83
Adorne,s1234&,aswepson4f@fema.gov,Hanoi University of Architecture,89,77,53,40,83,70,Clinical Specialist,strategize customized architectures,68.67,Runolfsdottir-Bailey,98,59,100,71,61,50,73.17
Kipp,h2144,kmclafferty4g@sun.com,Alverno College,60,62,75,76,44,84,Staff Accountant II,e-enable user-centric interfaces,66.83,"Labadie, Monahan and Heller",86,43,80,71,42,97,69.83
Leyla,j2074,lpoinsett4h@smugmug.com,University of Zadar,71,46,68,96,48,77,Executive Secretary,scale compelling interfaces,67.67,"Rempel, Harvey and Conn",83,61,96,93,67,88,81.33
Che,o3033,caveyard4i@alexa.com,Ecole Supérieure de Commerce de Marseille-Provence,73,56,41,93,81,85,Cost Accountant,synthesize 24/7 convergence,71.5,Schuppe LLC,68,88,96,56,49,55,68.67
Reta,j9861T,rtrebble4j@deviantart.com,Jacobs University Bremen,75,69,60,61,71,83,Design Engineer,matrix compelling e-services,69.83,Feil-Raynor,40,94,69,76,55,46,63.33
Dodie,p4750nO,dfoulcher4k@state.gov,Binh Duong University,82,47,61,42,62,94,Accountant II,benchmark dynamic web services,64.67,"Schamberger, Streich and Daniel",82,63,94,64,49,93,74.17
Jourdan,y4877,jrubinek4l@yandex.ru,University of Pangasinan,59,74,55,67,63,81,Financial Advisor,redefine value-added eyeballs,66.5,Kunde-Herzog,63,42,67,54,48,63,56.17
Kirbie,i7933,kteresi4m@vkontakte.ru,Kyrgyz Turkish  Manas University,62,55,73,63,77,79,Tax Accountant,deploy e-business mindshare,68.17,Sporer-Jacobson,66,83,73,50,95,63,71.67
Verile,d60498(,vdevuyst4n@wikia.com,Landmark University,87,53,73,64,91,47,Software Test Engineer IV,reinvent collaborative metrics,69.17,"Mann, Gutmann and Ledner",48,89,65,73,95,84,75.67
Amby,r1771,amcquie4o@tripadvisor.com,Creighton University,89,96,40,84,57,96,Director of Sales,engineer robust infomediaries,77,Mohr-Casper,67,49,77,75,49,50,61.17
Livia,z7103'a,lanthoin4p@sohu.com,University of Ostrava,76,54,41,64,58,46,Internal Auditor,maximize extensible models,56.5,"Watsica, Reinger and Gottlieb",88,88,46,97,68,79,77.67
Tulley,t9604,twentworth4q@is.gd,Deccan College Postgraduate and Research Institute,42,60,82,60,43,93,Assistant Professor,transform dot-com technologies,63.33,"Schuppe, Kassulke and Heidenreich",62,52,58,57,44,90,60.5
Gearalt,o9057,gjewes4r@dell.com,Tokyo Engineering University,67,42,53,89,84,46,VP Quality Control,syndicate out-of-the-box e-services,63.5,Conroy-Bins,97,95,64,65,57,75,75.5
Horten,b4318`WS,hbroadwell4s@state.gov,Ecole Supérieure de Commerce de Toulouse,70,64,41,44,76,42,Software Test Engineer IV,evolve real-time applications,56.17,Yundt-Littel,62,54,86,54,61,43,60
Erma,u1200,elammerich4t@reuters.com,Damghan University of Basic Sciences,52,45,58,83,100,46,Executive Secretary,maximize holistic convergence,64,Towne Inc,89,88,87,69,47,81,76.83
Melody,l5768t,mblankhorn4u@imdb.com,Warnborough University,59,74,44,75,62,50,Software Consultant,enhance holistic infrastructures,60.67,Kerluke and Sons,91,86,55,99,68,52,75.17
Kimmie,f9127,kconneely4v@mapquest.com,The Boston Conservatory,97,71,83,54,70,98,Sales Associate,utilize innovative portals,78.83,Schiller-Lemke,51,82,45,89,72,76,69.17
Vite,k1108Lx#,vbrunetti4w@yandex.ru,Hansei University,42,71,87,84,71,67,Information Systems Manager,repurpose killer supply-chains,70.33,Casper-Bergstrom,86,45,64,62,88,62,67.83
Kristoffer,h5771p,kchampkin4x@answers.com,University of Padua,49,74,96,78,59,93,Account Executive,exploit cross-media web services,74.83,Davis LLC,96,94,93,52,95,85,85.83
Giffie,r7773,gmapston4y@mtv.com,Iwaki Meisei University,99,40,91,72,97,76,Financial Advisor,maximize synergistic infomediaries,79.17,"Jaskolski, Schinner and Okuneva",64,95,63,55,100,98,79.17
Mathew,p94260,mwoodroof4z@fotki.com,Université de Kolwezi,73,94,93,70,94,53,Tax Accountant,disintermediate integrated initiatives,79.5,Dooley Inc,41,100,42,85,62,74,67.33
Trefor,s2083fx&,tmarians50@yellowpages.com,Suan Dusit Rajabhat University,49,80,49,76,84,53,Physical Therapy Assistant,implement wireless e-commerce,65.17,"Haag, Hilpert and Hilpert",94,90,63,88,69,59,77.17
Beilul,c0768f,breese51@msu.edu,Chatham College,75,74,67,52,88,94,Social Worker,productize extensible niches,75,Schoen Inc,75,62,91,87,87,99,83.5
Neile,j1511O2/,nvandenbosch52@pen.io,Scott Christian University,73,73,61,100,96,85,Software Engineer IV,harness B2B paradigms,81.33,Zulauf-Anderson,67,59,86,47,93,40,65.33
Daveen,a9402,dantonsen53@elegantthemes.com,Olabisi Onabanjo University ,84,94,71,74,68,45,Marketing Assistant,leverage turn-key functionalities,72.67,Luettgen-Ortiz,94,80,98,76,53,55,76
Chelsae,t9040G$},crochester54@github.com,State University of New York at Albany,93,44,85,63,85,65,Senior Cost Accountant,optimize compelling methodologies,72.5,"O'Connell, Miller and Bergnaum",44,62,95,89,61,70,70.17
Merrily,i0581bg,meusden55@nifty.com,Seigakuin University,46,75,85,92,84,43,Senior Sales Associate,incubate compelling networks,70.83,Christiansen-Kuhn,93,71,83,90,48,91,79.33
Hogan,v7866,hwindle56@ocn.ne.jp,National Institute of Industrial Engineering,83,85,51,100,75,80,Programmer I,drive out-of-the-box solutions,79,Miller-Olson,96,84,84,42,85,89,80
Janey,n8143p,jmcaughtrie57@patch.com,Bifrost School of Business,75,84,70,83,70,84,Senior Sales Associate,unleash dot-com initiatives,77.67,Jast-D'Amore,97,45,81,40,100,82,74.17
Tressa,d1065,tpley58@blinklist.com,National Institute of Fitness and Sports Kanoya,72,75,50,54,99,74,Librarian,generate front-end supply-chains,70.67,Kessler Inc,66,48,60,84,85,98,73.5
Sapphira,n4794,sskeath59@g.co,Seigakuin University,79,67,64,91,55,75,Financial Analyst,exploit robust systems,71.83,Leuschke-Hessel,57,79,54,91,59,73,68.83
Marcelline,q9390,mlasty5a@blogspot.com,Andon College - Modesto,42,90,77,67,69,61,GIS Technical Architect,reintermediate one-to-one systems,67.67,Gerhold Group,53,75,95,72,66,55,69.33
Vickie,h6058,vmoxstead5b@cornell.edu,Université de Bangui,59,100,79,42,83,65,Safety Technician II,whiteboard magnetic systems,71.33,Lueilwitz Group,63,85,99,58,84,58,74.5
Dante,y4920,dscrauniage5c@umich.edu,University of Arkansas (System),92,68,51,41,45,85,Assistant Media Planner,redefine vertical metrics,63.67,Hegmann Group,77,90,66,74,63,69,73.17
Marcello,t1222?C,mfearnehough5d@yelp.com,"University of Gjirokstra ""Eqerem Cabej""",74,57,75,98,98,40,Human Resources Manager,streamline 24/365 communities,73.67,Lesch Inc,74,100,59,61,44,97,72.5
Zerk,v7980{,zcavozzi5e@liveinternet.ru,Yerevan Haibusak University,98,67,50,42,96,89,Research Assistant IV,expedite sexy schemas,73.67,Orn Group,64,86,70,87,70,49,71
Zsa zsa,p2037,zyoxall5f@smugmug.com,Université d'Aix-Marseille III,48,90,47,80,58,82,Director of Sales,monetize proactive channels,67.5,"Gerhold, Kiehn and Schmidt",58,72,57,81,66,91,70.83
Albert,e1975},amcvitie5g@hatena.ne.jp,University of Grigol Robakidze,78,94,52,43,88,59,Editor,harness extensible niches,69,Howe-Lockman,95,86,70,44,93,55,73.83
Ginelle,p6478eGF,gbrunesco5h@aboutads.info,Sultan Qaboos University,47,99,47,71,44,45,Operator,orchestrate virtual ROI,58.83,Reichel-Johnston,89,62,68,68,61,61,68.17
Deloris,p6819lRz,dbeller5i@ucoz.com,International Centre for Isclamic Science,80,75,92,72,46,58,Financial Advisor,extend collaborative e-tailers,70.5,DuBuque-Kuhic,91,52,79,82,79,73,76
Blair,r0959cA,bzanotti5j@flavors.me,College of Nursing and Allied Health Scinces,77,43,93,96,71,44,GIS Technical Architect,orchestrate best-of-breed applications,70.67,Lueilwitz-Glover,98,86,93,89,43,100,84.83
Jessamyn,e6018,jlehr5k@feedburner.com,University of Notre Dame,44,60,97,81,61,54,GIS Technical Architect,redefine granular content,66.17,Hamill Group,55,51,55,54,87,49,58.5
Louie,s3603,levens5l@house.gov,Ho Chi Minh City University of Pedagogics,50,76,76,80,95,56,Web Developer I,seize collaborative synergies,72.17,"Braun, Feest and Kirlin",95,75,52,41,62,69,65.67
Jasmine,p5158O,jaiken5m@mail.ru,Hadhramout University of Science and Technology ,48,98,76,73,69,78,Design Engineer,enable sexy supply-chains,73.67,O'Hara-Anderson,98,73,65,70,50,69,70.83
Andre,x8779,amacandrew5n@examiner.com,Universidad Xicotepetl,40,51,84,97,47,50,Help Desk Operator,leverage user-centric architectures,61.5,Upton-Koss,67,63,85,78,85,54,72
Husein,f3228,halgy5o@drupal.org,Mutesa 1 Royal University,48,86,66,67,93,56,Engineer I,orchestrate leading-edge supply-chains,69.33,Marvin LLC,91,42,56,86,57,44,62.67
Bernette,t4720,banstead5p@answers.com,Spring Hill College,81,79,51,63,73,79,Web Developer III,unleash sexy channels,71,Osinski-Effertz,79,62,55,62,94,64,69.33
Nelly,v6538,ndebell5q@mysql.com,"Fachhochschule Heilbronn, Hochschule für Technik und Wirtschaft",62,100,100,53,46,82,Tax Accountant,drive proactive methodologies,73.83,Bauch and Sons,72,91,55,85,69,82,75.67
Auroora,o4490,anorwood5r@blogs.com,University of Stirling,58,78,51,45,77,56,Business Systems Development Analyst,benchmark vertical models,60.83,"Beatty, Gutkowski and Kihn",76,93,59,91,66,67,75.33
Mavis,c3268wLt,mcozens5s@alibaba.com,Physical Education Academy in Katowice,71,73,68,90,84,41,Desktop Support Technician,syndicate turn-key deliverables,71.17,Kertzmann and Sons,96,79,85,81,66,52,76.5
Brant,g4563,byurinov5t@patch.com,University of South Carolina,80,70,96,81,48,64,Senior Financial Analyst,generate customized functionalities,73.17,Rice-Torp,87,83,86,43,93,54,74.33
Mallissa,p6933$H,mmaddrah5u@nytimes.com,Internationales Hochschulinstitut Zittau,43,56,63,73,62,48,GIS Technical Architect,empower compelling portals,57.5,Terry LLC,55,76,46,75,42,61,59.17
Joletta,z2406S(r,jdarth5v@trellian.com,The Interdisciplinary Center Herzliya,92,46,43,93,83,72,Project Manager,incentivize world-class e-commerce,71.5,"Veum, Nader and Krajcik",90,100,76,47,98,66,79.5
Birgitta,b7168=8,bscrimgeour5w@icq.com,Fachhochschule Kiel,91,83,74,47,72,68,Web Developer II,cultivate out-of-the-box web-readiness,72.5,O'Hara-Herzog,90,98,65,58,63,91,77.5
Tabbie,n1290P,tpughsley5x@comsenz.com,Kobe Pharmaceutical University,100,97,99,47,80,71,Sales Representative,exploit bricks-and-clicks models,82.33,"Yundt, Lesch and Maggio",47,59,67,100,43,74,65
Jermaine,o2393,jmcaless5y@i2i.jp,"St. Francis College, Fort Wayne",69,74,71,98,74,70,Software Engineer II,exploit out-of-the-box systems,76,Gutkowski-Collins,94,94,40,98,77,72,79.17
Tilda,t2057,tcumberpatch5z@cafepress.com,"University of Computer Studies, Yangon",99,63,83,97,64,70,Senior Editor,empower B2B functionalities,79.33,"Hauck, Stiedemann and Kutch",56,97,93,75,81,52,75.67
Livvie,r3319nL,ljankowski60@cdc.gov,University of Vaasa,96,67,75,46,72,46,Food Chemist,productize scalable systems,67,Zboncak and Sons,99,47,80,55,65,55,66.83
Florinda,u6671oc,fsleeford61@indiatimes.com,"Universidad Pedagógica Nacional, Unidad León",100,54,44,91,78,42,Registered Nurse,optimize robust niches,68.17,"Connelly, Nicolas and Quitzon",42,79,45,94,75,51,64.33
Mason,x1696,mgarnham62@opera.com,Leeds Metropolitan University,83,71,68,67,41,85,Human Resources Manager,embrace value-added metrics,69.17,"Yost, Moen and VonRueden",91,85,73,86,94,73,83.67
Dore,x4744,dsousa63@geocities.jp,Drzavni Univerzitet u Novom Pazaru,48,71,50,55,45,86,Director of Sales,empower cross-platform action-items,59.17,Grant-Satterfield,44,77,58,81,74,52,64.33
Darla,w2650Xft,dlethabridge64@webs.com,Thomas More College,54,45,48,72,75,48,Information Systems Manager,leverage next-generation technologies,57,Bernier-Lang,68,45,61,48,76,100,66.33
Jackie,q0628,jperrie65@vinaora.com,Tiraspol State University,95,53,53,99,91,47,Director of Sales,expedite bricks-and-clicks methodologies,73,Lebsack-Stiedemann,73,43,55,92,45,84,65.33
Tobin,n6948F4V,tmaccorley66@skype.com,National Chengchi University,86,65,47,41,74,95,Nurse,target world-class networks,68,Dietrich-Daugherty,66,64,53,74,79,44,63.33
Mendie,h1400%sR,msabbins67@wordpress.org,Hong Kong Polytechnic University,51,64,57,45,68,77,Actuary,generate intuitive methodologies,60.33,"Lindgren, Padberg and Hane",88,58,64,91,62,60,70.5
Janifer,r0585,japlin68@addtoany.com,Kahramanmaras Sütcü Imam University,88,78,79,76,92,56,Account Coordinator,synergize ubiquitous solutions,78.17,"Cummings, Beatty and Daniel",99,81,86,80,56,90,82
Rubin,l5543dzK,rgrouse69@boston.com,Universitas Muhammadiyah Jember,71,49,67,89,96,65,Senior Editor,repurpose synergistic relationships,72.83,Stiedemann LLC,56,78,52,83,94,61,70.67
Lavena,i7285,lgoor6a@istockphoto.com,The Catholic University of America,64,96,100,97,77,59,Nurse Practicioner,reinvent best-of-breed portals,82.17,"Haley, Mayer and Green",70,92,80,49,58,42,65.17
Lorrie,m6058,lalen6b@geocities.com,Parwan University,61,89,45,69,52,56,Tax Accountant,visualize customized bandwidth,62,Olson-Schamberger,74,58,82,48,50,67,63.17
Ruben,b0676QN,relford6c@economist.com,Botho University,43,68,50,63,99,89,Desktop Support Technician,cultivate innovative users,68.67,"Turcotte, Osinski and Gerhold",98,81,87,71,94,97,88
Deb,j2961,davramov6d@nifty.com,Universitat Rámon Llull,78,87,88,99,42,55,Marketing Manager,recontextualize value-added e-business,74.83,"Rodriguez, Goyette and Adams",63,74,96,83,97,95,84.67
Marlon,l0308&,mblunsom6e@princeton.edu,Jumeira University,49,82,46,55,56,69,Help Desk Operator,exploit out-of-the-box portals,59.5,Trantow Inc,76,58,75,71,67,56,67.17
Mercie,y2691nX,mbrightie6f@acquirethisname.com,Oklahoma Christian University,63,55,61,40,66,60,Structural Analysis Engineer,matrix value-added e-business,57.5,"Hagenes, Conroy and Kub",80,73,90,42,79,71,72.5
Billie,w6419k,bleband6g@booking.com,Finnmark University College,67,67,79,45,99,86,Biostatistician IV,brand distributed deliverables,73.83,"Carroll, Stracke and Wehner",47,92,84,69,44,63,66.5
Hortensia,u3797,hberrycloth6h@washingtonpost.com,Chinju National University of Education,89,81,91,49,48,88,Physical Therapy Assistant,productize strategic e-commerce,74.33,"Fritsch, Graham and Hartmann",99,41,44,51,62,97,65.67
Letisha,k5432<,lpoxton6i@sciencedirect.com,University of Texas at Arlington,59,82,62,40,43,49,Editor,empower killer channels,55.83,Dietrich Inc,65,81,99,51,62,70,71.33
Conny,c6472XQc,cdoles6j@ed.gov,Paul Quinn College,91,70,86,63,53,75,Registered Nurse,incentivize collaborative web-readiness,73,Rau-Kuphal,60,93,90,73,56,55,71.17
Devin,b4052k,dmccarver6k@a8.net,Mount St. Clare College,48,51,68,76,55,88,Programmer Analyst III,cultivate sexy schemas,64.33,"Nader, Heller and Rice",60,75,75,97,45,47,66.5
Massimo,m1831,mpainswick6l@newsvine.com,University of Venda,46,83,52,47,52,56,Information Systems Manager,morph clicks-and-mortar e-business,56,Auer-McClure,99,66,47,63,93,94,77
George,b5406L$t,gdufer6m@dion.ne.jp,University of Edinburgh,87,44,91,81,54,72,Desktop Support Technician,synthesize cutting-edge metrics,71.5,Upton Group,43,77,94,77,68,61,70
Yard,c9301n*z,yreadwood6n@clickbank.net,Universidad Interamericana de Puerto Rico,91,93,88,69,53,70,Help Desk Technician,transition granular platforms,77.33,Ebert and Sons,95,61,97,74,76,61,77.33
Alexina,u9536dJ,alorey6o@friendfeed.com,Sinte Gleska University,76,69,46,61,71,69,Health Coach IV,reinvent extensible interfaces,65.33,Hartmann-Bartoletti,62,50,72,62,41,87,62.33
Pierette,i5566z%,prenhard6p@java.com,Hardin-Simmons University,93,95,50,100,100,99,Systems Administrator II,matrix B2C models,89.5,Cole-Hintz,80,65,95,90,74,60,77.33
Emlen,d9786,eughetti6q@google.com.au,Dammam Community College,85,69,80,54,42,52,Systems Administrator II,architect leading-edge relationships,63.67,"Macejkovic, Walter and Rippin",80,68,58,59,74,57,66
De,b8205h6a,dgeeraert6r@xrea.com,Universidade do Estado do Rio de Janeiro,94,50,87,96,41,65,Internal Auditor,incubate robust web-readiness,72.17,Boehm-Schneider,73,86,88,40,52,73,68.67
Lura,y5390,lginger6s@ftc.gov,"Concordia University, Mequon",61,82,69,86,73,70,Internal Auditor,envisioneer integrated experiences,73.5,DuBuque-Senger,85,51,56,89,81,42,67.33
Francyne,x9770,fpalser6t@apple.com,Ecole Supérieure de Commerce de Lille,55,95,49,92,44,63,Financial Advisor,enhance back-end systems,66.33,Jast-Legros,61,50,57,43,60,67,56.33
Benson,g5986,borteau6u@trellian.com,Al-Imam Mohamed Ibn Saud Islamic University,93,70,69,63,61,47,Social Worker,grow impactful ROI,67.17,Kunde-Veum,61,81,73,66,85,40,67.67
Wait,j3661M9Z,wcoen6v@goo.gl,Altai State Technical University,81,44,57,93,53,72,Payment Adjustment Coordinator,matrix 24/7 e-services,66.67,Breitenberg and Sons,90,52,90,70,88,56,74.33
Daniel,z0763|+,dgrizard6w@edublogs.org,Soongsil University,77,55,49,60,66,45,Structural Engineer,aggregate B2C convergence,58.67,Swaniawski Inc,61,43,54,100,100,98,76
Debra,h2295As3,dkach6x@latimes.com,State University of New York College at Fredonia,83,81,90,63,75,47,Assistant Media Planner,redefine global systems,73.17,"Wolf, Emmerich and Koelpin",54,72,53,94,59,56,64.67
Aubrey,x8577,amayo6y@merriam-webster.com,East-Siberian State Institute of Culture,89,96,100,100,47,99,Budget/Accounting Analyst IV,seize cutting-edge architectures,88.5,Emmerich and Sons,46,49,93,58,72,56,62.33
Emmett,x8862,emalenoir6z@ezinearticles.com,Vali-e-Asr University,73,93,56,74,93,66,Human Resources Assistant I,expedite global vortals,75.83,"McCullough, Maggio and Harvey",71,55,100,62,95,52,72.5
Jo,m0810,jbusfield70@nationalgeographic.com,Novosibirsk State Agricultural University,61,93,43,57,44,53,Assistant Professor,innovate clicks-and-mortar channels,58.5,Spinka-Jacobson,77,60,95,66,42,69,68.17
Francesca,u4796@,fcayet71@shutterfly.com,University of Switzerland,54,79,94,75,97,82,Account Executive,cultivate cutting-edge e-services,80.17,Conroy Inc,87,78,55,75,93,54,73.67
Dulcie,b41705MQ,dohagerty72@quantcast.com,East Kazakhstan State University,43,70,73,51,63,57,Automation Specialist III,syndicate revolutionary architectures,59.5,Okuneva Group,70,88,56,95,99,67,79.17
Hestia,c0925\P1,hthame73@google.ca,Universidade Federal do Rio Grande do Norte,82,79,78,40,54,46,Dental Hygienist,incentivize innovative eyeballs,63.17,Hilll LLC,67,61,100,61,69,80,73
Douglass,q3856,dattenborough74@washingtonpost.com,University of Tirana,68,97,96,55,83,46,Paralegal,redefine 24/7 e-business,74.17,Thompson-Hettinger,54,50,62,48,90,92,66
Kurt,m2450,ksibly75@psu.edu,Chittagong Independent University,49,80,59,53,64,94,Community Outreach Specialist,generate bricks-and-clicks ROI,66.5,Hudson-Bogisich,89,47,95,98,55,44,71.33
Fabe,i0046%1n,flean76@umich.edu,Universidad Ciencias Comerciales,43,61,63,70,69,81,Physical Therapy Assistant,transform bleeding-edge e-markets,64.5,Kulas and Sons,74,74,70,85,53,74,71.67
Chase,z9353,ccalow77@studiopress.com,Sur University College,80,42,63,90,80,43,Community Outreach Specialist,expedite user-centric experiences,66.33,McDermott-Swift,82,44,58,88,100,62,72.33
Julie,t0501,jborzone78@comcast.net,University of Saint Joseph,81,41,52,56,86,54,Programmer II,deliver 24/365 vortals,61.67,Bartoletti-Feest,74,79,64,87,80,74,76.33
Lyman,l9275,lsuddick79@ning.com,University of Foggia,58,73,83,73,75,83,Design Engineer,incubate clicks-and-mortar vortals,74.17,"Hermiston, Walker and Konopelski",70,45,97,41,70,74,66.17
Janna,z7492,jlindro7a@hibu.com,Moorhead State University,56,66,96,61,58,42,Engineer III,reintermediate real-time channels,63.17,Rau Inc,54,56,66,62,48,63,58.17
Cristie,i7798dv,cstit7b@comsenz.com,Universite des Sciences Islamiques de Constantine,81,53,93,54,70,60,Systems Administrator II,synthesize integrated web-readiness,68.5,Okuneva-Stoltenberg,74,74,46,49,47,41,55.17
Asia,v7667,aspatari7c@hp.com,Ethiopian Civil Service University,94,40,82,74,96,41,Registered Nurse,whiteboard one-to-one channels,71.17,Borer-Keebler,88,65,55,98,65,60,71.83
Valentin,y8413,vmcgrorty7d@mail.ru,Planwel University,48,44,86,93,86,70,Web Developer I,facilitate mission-critical e-markets,71.17,"Tromp, Beahan and Padberg",77,76,71,68,55,77,70.67
Broderic,t8258Amp,bmarrion7e@themeforest.net,All Nations University College,100,56,83,43,95,76,Office Assistant III,exploit killer technologies,75.5,Rowe-Ortiz,65,43,60,41,83,74,61
Agneta,z0745y/%,amcbrady7f@telegraph.co.uk,American Jewish University,93,71,61,99,43,56,Systems Administrator I,transform collaborative schemas,70.5,Runolfsdottir and Sons,86,63,66,85,99,41,73.33
Verla,q3003),vowthwaite7g@homestead.com,Miami University of Ohio - Middletown,93,47,67,82,66,74,Chief Design Engineer,orchestrate end-to-end networks,71.5,Davis-Marvin,56,100,61,50,69,40,62.67
Bondy,v7507S,bolliar7h@ustream.tv,Hokusei Gakuen University,68,40,98,57,83,87,Staff Scientist,orchestrate cross-platform communities,72.17,"Jacobson, Farrell and Rogahn",65,95,60,40,68,44,62
Vanna,m5353,vnend7i@de.vu,Liaoning University,41,51,86,68,92,48,Senior Editor,incentivize virtual communities,64.33,Weimann and Sons,56,100,68,76,64,59,70.5
Nikolaus,d5685,nbooler7j@godaddy.com,Universidad Tecnológica Equinoccial,94,100,78,63,80,58,Librarian,synergize end-to-end networks,78.83,Bergstrom Group,91,64,58,73,89,90,77.5
Margaretha,d7795S<,mpasfield7k@ebay.com,Indiana University-Purdue University at Fort Wayne,65,77,68,69,69,43,Legal Assistant,unleash cross-media networks,65.17,McClure-Crooks,88,43,47,90,69,93,71.67
Markos,y8283(F,mloisi7l@godaddy.com,"University of Maine, Augusta",56,60,54,87,76,50,Chief Design Engineer,aggregate integrated communities,63.83,Lind and Sons,99,72,96,94,42,55,76.33
Dev,d654564G,dcasiero7m@japanpost.jp,Florida Southern College,92,50,60,83,57,97,Executive Secretary,deliver killer e-services,73.17,Wisozk Inc,81,75,49,70,62,71,68
Rem,e9595gN,rwoodworth7n@mac.com,Ohio Northern University,54,100,67,95,69,99,Chief Design Engineer,embrace dot-com e-markets,80.67,"Pouros, Cormier and Murray",72,89,50,56,98,96,76.83
Bo,n6895,brootes7o@dailymotion.com,Visvesvaraya National Institute of Technology,46,86,90,91,75,44,Human Resources Assistant II,architect interactive solutions,72,Moore-Gorczany,55,79,55,48,66,70,62.17
Danita,h0986,dlaffan7p@spiegel.de,Weill Medical College of Cornell University,41,89,98,50,67,83,Quality Engineer,deliver magnetic eyeballs,71.33,Mayer Inc,88,56,77,55,89,78,73.83
Doe,x7573,dkobiela7q@tumblr.com,University of Buckingham,48,95,94,41,48,86,Staff Scientist,streamline revolutionary communities,68.67,Auer Inc,77,53,78,47,53,64,62
Engracia,c0622,ewestwell7r@lulu.com,University of Kabianga,88,79,86,59,53,89,Senior Sales Associate,revolutionize best-of-breed e-tailers,75.67,Anderson-Renner,76,59,46,93,63,73,68.33
Devonna,m0368z,dgoodbarr7s@tumblr.com,West Suburban College of Nursing,96,79,90,64,42,44,Marketing Manager,strategize virtual infrastructures,69.17,"Reinger, Gulgowski and Schmidt",98,92,86,59,51,86,78.67
